Name,Relative lattice energy (kJ/mol),No. of hydrogen bonds, No. of hydrogen bonds per hydrogen-bond site,No. of parallel pi-pi stacking modes,Density (g/cm^3),Largest included sphere (Ang),Largest free sphere (Ang),Largest included sphere along free sphere path (Ang),Accessible surface area (m^2/g),Accessible pore volume (cm^3/g),Pore dimensionality,AffinityPropagation
10002003005237,87.83019999999999,12,1.0,0,1.0268,5.7749,4.89647,5.76724,1146.3,0.0518896,1,61
100020030616861,59.14109999999999,12,1.0,0,1.1037,5.85044,4.89179,5.82094,963.498,0.0354242,1,56
100020030195614,72.543,12,1.0,0,1.0657,5.82116,4.87323,5.82116,1042.56,0.0426211,1,61
100020030044300,50.0461,12,1.0,0,1.1353,5.18943,4.51702,5.17351,911.703,0.029947,1,56
100020030613954,70.86420000000001,12,1.0,0,0.6728,11.81638,11.73615,11.81635,2165.12,0.500589,1,7
1000200305612984,85.73660000000001,12,1.0,0,0.6615,11.80534,11.71331,11.79886,2255.42,0.502293,1,7
100020030604445,74.64359999999999,12,1.0,0,0.7903,12.01154,11.64796,12.01154,1742.47,0.303385,1,8
100020030619206,67.09790000000001,12,1.0,0,0.6713,11.85896,11.59962,11.84276,2201.5,0.493539,1,7
100020030604315,76.25729999999999,12,1.0,0,0.661,11.85326,11.36523,11.83739,2293.81,0.50094,1,7
100020030134357,74.5282,12,1.0,0,0.6556,11.91495,11.34784,11.85729,2317.62,0.504968,1,7
1000200300510183,69.7904,12,1.0,0,0.6711,11.3514,11.03672,11.3514,2279.22,0.483007,1,7
100020030612736,71.5933,12,1.0,0,0.6769,11.27494,10.98207,11.25076,2260.95,0.470465,1,7
100020030601780,95.37809999999999,12,1.0,0,1.087,5.33502,4.79096,5.16339,966.15,0.0344802,1,56
100020030059208,76.1003,10,0.8333333333333334,0,1.0342,5.59742,4.7371,5.59742,741.247,0.0315519,1,76
10002003033914,46.339,12,1.0,0,1.1497,5.12119,4.39953,5.12119,588.242,0.0187793,1,63
100020030143402,49.91460000000001,12,1.0,0,1.1279,5.12735,4.38057,5.1136,593.244,0.0188844,1,73
1000200300210700,66.76069999999999,10,0.8333333333333334,0,1.1473,5.36228,4.33145,5.35085,687.962,0.0268884,1,56
100020030146808,21.3861,12,1.0,0,1.2913,4.90161,4.27787,4.87697,262.841,0.00751147,1,78
100020030152542,72.34370000000001,10,0.8333333333333334,0,1.0292,5.72696,2.04637,5.72328,0.0,0.0,0,116
100020030771896,81.94200000000001,12,1.0,0,0.639,15.60448,15.47729,15.60335,2758.32,0.513565,1,5
1000200308812792,96.64320000000001,12,1.0,0,0.6281,15.41382,15.32885,15.41382,2791.85,0.530225,1,5
